,T,ax,ay,az,gx,gy,gz
0,110516,0.593896,-0.24278,-0.52094,17.01,-19.215,-15.5225
1,110675,0.626348,-0.231556,-0.630252,-45.92,-36.3475,-194.95
2,110773,0.67222,-0.241316,-0.676612,-38.4125,-88.48001,-323.225
3,110871,0.671244,-0.238632,-0.684176,25.7775,-108.4825,-84.8575
4,110969,0.671488,-0.241804,-0.681736,0.6125,-8.8025,-8.2075
5,111067,0.672464,-0.240828,-0.6802721,-0.2275,-5.565,-5.845
6,111164,0.674172,-0.239852,-0.683444,-0.28,-5.5125,-5.88
7,111262,0.6753921,-0.242292,-0.683444,-0.2975,-5.5475,-5.88
8,111360,0.6756361,-0.244244,-0.683932,-0.4025,-5.4775,-5.88
9,111458,0.673684,-0.241804,-0.683932,-0.49,-5.39,-5.985
10,111555,0.675148,-0.245708,-0.681492,-0.6125,-5.25,-6.09
11,111653,0.671732,-0.245952,-0.6851521,-0.665,-5.285,-6.1775
12,111751,0.67466,-0.241316,-0.685884,-0.7175,-5.145,-6.265
13,111849,0.676124,-0.242048,-0.684664,-0.805,-5.1275,-6.3175
14,111947,0.67466,-0.240828,-0.685884,-0.805,-5.145,-6.265
15,112044,0.67222,-0.239852,-0.683444,-0.7875,-5.0925,-6.335
16,112142,0.675148,-0.239608,-0.687104,-0.7525,-4.9,-6.23
17,112240,0.676368,-0.241072,-0.684176,-0.7175,-4.76,-6.16
18,112338,0.67588,-0.241316,-0.684176,-0.7525,-4.7075,-6.195
19,112436,0.672464,-0.24278,-0.686372,-0.7525,-4.6375,-6.1775
20,112533,0.6749041,-0.241072,-0.682956,-0.7875,-4.4625,-6.0725
21,112631,0.674172,-0.238876,-0.686372,-0.77,-4.34,-5.985
22,112729,0.67222,-0.23912,-0.6844201,-0.7175,-4.2175,-5.95
23,112827,0.671732,-0.24156,-0.681004,-0.7875,-4.1475,-5.915
24,112924,0.6749041,-0.241804,-0.683932,-0.8925,-3.955,-5.8975
25,113022,0.679784,-0.23912,-0.684176,-0.8225,-3.885,-5.8975
26,113120,0.6795401,-0.23546,-0.688324,-0.8225,-3.7975,-5.74
27,113218,0.683932,-0.235216,-0.685884,-0.595,-3.815,-5.5825
28,113316,0.6851521,-0.237168,-0.6844201,-0.315,-3.9025,-5.2325
29,113413,0.6832,-0.240096,-0.682468,-0.0525,-4.0775,-5.0225
30,113511,0.686128,-0.244488,-0.68686,0.1925,-4.34,-4.83
31,113609,0.683932,-0.24156,-0.686128,0.42,-4.55,-4.6375
32,113707,0.686616,-0.243024,-0.684664,0.5775,-4.7425,-4.515
33,113805,0.684664,-0.245464,-0.681004,0.7175,-4.935,-4.55
34,113902,0.67588,-0.248392,-0.6802721,0.6825,-5.3375,-4.69
35,114000,0.677832,-0.24766,-0.6790521,0.4375,-5.39,-4.8825
36,114098,0.67588,-0.246196,-0.681492,0.385,-5.3375,-4.9875
37,114196,0.676124,-0.247904,-0.68198,0.315,-5.3025,-5.215
38,114294,0.675148,-0.244732,-0.679784,0.245,-5.145,-5.2675
39,114391,0.677832,-0.24278,-0.682224,0.1225,-5.005,-5.25
40,114489,0.67832,-0.245464,-0.682468,0.1575,-5.0575,-5.18
41,114587,0.676856,-0.247904,-0.680516,0.105,-5.0925,-5.18
42,114685,0.678564,-0.242048,-0.68076,0.0175,-4.865,-5.25
43,114783,0.6771,-0.240096,-0.682712,0.07,-4.8125,-5.0925
44,114881,0.677344,-0.244732,-0.68076,0.21,-4.725,-4.9525
45,114978,0.677588,-0.245952,-0.679296,0.2625,-4.55,-4.9525
46,115076,0.677344,-0.244488,-0.678076,0.1225,-4.4275,-4.795
47,115174,0.6756361,-0.2501,-0.680516,0.14,-4.2875,-4.6725
48,115272,0.676612,-0.246928,-0.68198,0.1225,-4.2525,-4.62
49,115370,0.679784,-0.247904,-0.67832,0.2975,-4.2525,-4.6375
50,115467,0.679296,-0.251564,-0.6795401,0.105,-4.2,-4.62
51,115565,0.678076,-0.254736,-0.677832,0.0525,-4.27,-4.83
52,115663,0.681004,-0.250832,-0.678808,-0.0875,-4.34,-5.1625
53,115761,0.678076,-0.253028,-0.67832,-0.2625,-4.585,-5.5475
54,115859,0.681492,-0.252296,-0.6756361,-0.3675,-4.9175,-5.7925
55,115956,0.682712,-0.249368,-0.6753921,-0.525,-5.1625,-6.1075
56,116054,0.682712,-0.2501,-0.67588,-0.595,-5.4775,-6.44
57,116152,0.681736,-0.247416,-0.673928,-0.6475,-5.6175,-6.4925
58,116250,0.682224,-0.245708,-0.6771,-0.6125,-5.8275,-6.44
59,116348,0.6790521,-0.248148,-0.67832,-0.56,-5.9325,-6.3525
60,116445,0.6771,-0.247904,-0.679296,-0.5425,-6.1075,-6.475
61,116543,0.676368,-0.248636,-0.6790521,-0.6475,-6.0725,-6.5975
62,116641,0.680028,-0.24766,-0.6771,-0.665,-5.985,-6.65
63,116739,0.679296,-0.2501,-0.678808,-0.735,-5.9325,-6.5625
64,116836,0.67832,-0.250344,-0.678564,-0.7175,-5.9675,-6.6325
65,116934,0.67832,-0.251076,-0.677832,-0.805,-6.0025,-6.685
66,117032,0.677832,-0.249612,-0.67832,-0.9975,-6.0725,-6.8075
67,117130,0.67466,-0.252296,-0.676368,-1.0675,-6.0725,-6.9825
68,117228,0.678808,-0.249612,-0.6771,-1.3475,-6.09,-7.1575
69,117326,0.674172,-0.246196,-0.676368,-1.47,-6.09,-7.21
70,117423,0.6753921,-0.24766,-0.680516,-1.54,-6.02,-7.4025
71,117521,0.67832,-0.246196,-0.678564,-1.54,-5.8975,-7.3325
72,117619,0.677344,-0.241804,-0.678808,-1.47,-6.0025,-7.385
73,117717,0.677344,-0.244244,-0.680516,-1.4,-5.775,-7.21
74,117814,0.67832,-0.242048,-0.6836881,-1.2775,-5.7225,-7.0175
75,117912,0.681492,-0.239608,-0.679784,-1.0675,-5.6175,-6.72
76,118010,0.681492,-0.240096,-0.680516,-0.8225,-5.495,-6.5275
77,118108,0.683444,-0.241072,-0.682468,-0.6825,-5.425,-6.3175
78,118206,0.6802721,-0.24156,-0.67832,-0.42,-5.4075,-6.0725
79,118303,0.6795401,-0.243512,-0.680028,-0.28,-5.5825,-5.9675
80,118401,0.6795401,-0.244488,-0.6795401,-0.315,-5.6,-5.915
81,118499,0.678808,-0.247172,-0.67832,-0.245,-5.6525,-5.8625
82,118597,0.678808,-0.243512,-0.679296,-0.245,-5.6,-5.9325
83,118695,0.6790521,-0.24644,-0.678808,-0.245,-5.67,-6.02
84,118792,0.681004,-0.246196,-0.677344,-0.2975,-5.81,-6.09
85,118890,0.679296,-0.243756,-0.6790521,-0.385,-5.7925,-6.1775
86,118988,0.67832,-0.251076,-0.679296,-0.35,-5.95,-6.2825
87,119086,0.682468,-0.241316,-0.6795401,-0.5075,-5.845,-6.3
88,119184,0.681736,-0.244244,-0.680516,-0.3675,-6.02,-6.23
89,119281,0.677344,-0.247172,-0.678564,-0.35,-6.0725,-6.265
90,119379,0.676612,-0.246196,-0.676856,-0.4025,-6.1075,-6.23
91,119477,0.680516,-0.24278,-0.682224,-0.35,-6.1425,-6.195
92,119575,0.678808,-0.247172,-0.678564,-0.315,-6.1075,-6.2825
93,119673,0.682956,-0.244976,-0.681492,-0.2975,-6.195,-6.2825
94,119770,0.685884,-0.245464,-0.680028,-0.3325,-6.37,-6.37
95,119868,0.6851521,-0.247172,-0.683932,-0.175,-6.615,-6.37
96,119966,0.690764,-0.241804,-0.681492,0.0525,-6.895,-6.335
97,120064,0.681248,-0.245708,-0.6795401,0.42,-7.245,-6.2125
98,120162,0.6795401,-0.255712,-0.676612,0.5425,-7.42,-6.195
99,120259,0.675148,-0.248148,-0.6790521,0.4375,-7.42,-6.405
100,120357,0.6753921,-0.248392,-0.678076,0.1225,-7.5075,-6.755
101,120455,0.672708,-0.246928,-0.6753921,-0.1225,-7.595,-6.9125
102,120553,0.671976,-0.24522,-0.677588,-0.385,-7.4725,-7.105
103,120651,0.673684,-0.246196,-0.678076,-0.595,-7.3675,-7.1925
104,120748,0.673928,-0.244488,-0.682956,-0.8225,-7.315,-7.315
105,120846,0.670024,-0.243024,-0.679784,-0.8225,-7.21,-7.315
106,120944,0.6661201,-0.243512,-0.680028,-0.8225,-7.0,-7.14
107,121042,0.672464,-0.243512,-0.681004,-0.875,-6.5975,-7.0875
108,121140,0.6753921,-0.244732,-0.683444,-0.77,-6.3,-6.9825
109,121237,0.67344,-0.245464,-0.6795401,-0.8225,-6.16,-6.9125
110,121335,0.671488,-0.24522,-0.679296,-0.8925,-5.985,-6.755
111,121433,0.671732,-0.241804,-0.6790521,-1.0675,-5.775,-6.93
112,121531,0.668072,-0.241072,-0.682712,-1.1725,-5.6875,-6.8425
113,121629,0.67466,-0.243756,-0.6836881,-1.05,-5.2675,-6.825
114,121726,0.6771,-0.240584,-0.680516,-1.12,-5.075,-6.72
115,121824,0.678076,-0.238388,-0.685396,-1.1025,-4.9875,-6.6675
116,121922,0.677588,-0.242292,-0.681736,-0.98,-5.0925,-6.65
117,122020,0.67588,-0.244488,-0.678076,-1.0325,-5.04,-6.615
118,122117,0.677588,-0.244488,-0.680028,-1.015,-5.0575,-6.5975
119,122215,0.681248,-0.24278,-0.681736,-1.0325,-5.1275,-6.51
120,122313,0.681736,-0.240828,-0.682468,-0.945,-5.1625,-6.4575
121,122411,0.676856,-0.242536,-0.681736,-0.9275,-5.25,-6.5275
122,122509,0.6753921,-0.242048,-0.682224,-0.9275,-5.075,-6.44
123,122606,0.678076,-0.239608,-0.6836881,-0.9275,-5.04,-6.475
124,122704,0.680028,-0.242048,-0.6832,-0.875,-5.0575,-6.4925
125,122802,0.680516,-0.241316,-0.682712,-0.8400001,-4.9875,-6.335
126,122900,0.67832,-0.24156,-0.681004,-0.8400001,-4.97,-6.3175
127,122998,0.679296,-0.241072,-0.677832,-0.77,-5.0575,-6.3
128,123095,0.678808,-0.243268,-0.679784,-0.8575,-5.04,-6.3525
129,123193,0.679296,-0.239852,-0.682224,-0.805,-5.04,-6.335
130,123291,0.676368,-0.240828,-0.6790521,-0.7525,-5.075,-6.37
131,123389,0.67588,-0.246196,-0.677344,-0.805,-5.0575,-6.3875
132,123487,0.677832,-0.243512,-0.6795401,-0.8575,-4.97,-6.51
133,123584,0.678564,-0.242048,-0.679296,-0.875,-4.9525,-6.475
134,123682,0.683932,-0.237412,-0.6802721,-0.7875,-4.9875,-6.335
135,123780,0.68076,-0.241072,-0.679784,-0.5775,-5.075,-6.2825
136,123878,0.6795401,-0.241804,-0.6790521,-0.5075,-5.075,-6.2475
137,123975,0.679296,-0.243024,-0.6790521,-0.525,-5.3025,-6.195
138,124073,0.677588,-0.242292,-0.680516,-0.42,-5.425,-6.1425
139,124171,0.678564,-0.24156,-0.679296,-0.385,-5.5125,-6.0725
140,124269,0.676856,-0.245464,-0.677344,-0.3675,-5.355,-6.1425
141,124367,0.678808,-0.239364,-0.681004,-0.35,-5.46,-6.16
142,124464,0.676612,-0.239608,-0.682712,-0.28,-5.46,-6.0025
143,124562,0.678564,-0.241316,-0.680516,-0.315,-5.425,-5.88
144,124660,0.681492,-0.244,-0.68198,-0.385,-5.25,-5.9325
145,124758,0.680028,-0.24156,-0.6790521,-0.4025,-5.3025,-5.985
146,124855,0.68076,-0.241804,-0.679784,-0.35,-5.5125,-6.0375
147,124953,0.679784,-0.243512,-0.679296,-0.21,-5.565,-6.1075
148,125051,0.677344,-0.243756,-0.679784,-0.245,-5.565,-6.0375
149,125149,0.676612,-0.243756,-0.677832,-0.28,-5.5475,-6.125
150,125247,0.676612,-0.243024,-0.678076,-0.2975,-5.6175,-6.0725
151,125344,0.681248,-0.240584,-0.679296,-0.2275,-5.7225,-6.055
152,125442,0.68198,-0.244488,-0.681248,-0.1575,-5.8275,-6.125
153,125540,0.6795401,-0.244488,-0.6790521,-0.0175,-5.845,-6.125
154,125638,0.674172,-0.24766,-0.6749041,0.0,-5.9325,-6.195
155,125736,0.675148,-0.245464,-0.677344,-0.035,-5.8975,-6.2475
156,125833,0.6756361,-0.244244,-0.6771,-0.1575,-5.7925,-6.3175
157,125931,0.673196,-0.243512,-0.6795401,-0.35,-5.705,-6.4225
158,126029,0.669292,-0.245952,-0.676368,-0.5425,-5.53,-6.5275
159,126127,0.67588,-0.242048,-0.67588,-0.77,-5.18,-6.5625
160,126224,0.6749041,-0.240828,-0.6790521,-0.9975,-4.9875,-6.58
161,126322,0.677832,-0.243024,-0.677344,-1.05,-4.9,-6.58
162,126420,0.6790521,-0.242292,-0.67832,-1.1025,-4.7425,-6.6325
163,126518,0.677832,-0.244732,-0.6790521,-1.1725,-4.6025,-6.5975
164,126616,0.678076,-0.244732,-0.678564,-1.1725,-4.655,-6.545
165,126713,0.681736,-0.23912,-0.67832,-1.2075,-4.585,-6.6325
166,126811,0.682224,-0.241316,-0.6790521,-1.155,-4.6375,-6.755
167,126909,0.681004,-0.238144,-0.676124,-1.0325,-4.6725,-6.5275
168,127007,0.6832,-0.238388,-0.679784,-1.015,-4.6025,-6.475
169,127104,0.681492,-0.23912,-0.677832,-1.015,-4.6375,-6.4575
170,127202,0.676856,-0.241072,-0.680028,-0.98,-4.62,-6.4225
171,127300,0.681248,-0.238388,-0.67832,-0.9975,-4.55,-6.44
172,127398,0.680516,-0.240584,-0.677832,-0.945,-4.62,-6.51
173,127496,0.68076,-0.237656,-0.679784,-0.8575,-4.55,-6.475
174,127593,0.683444,-0.236192,-0.678076,-0.9275,-4.48,-6.4225
175,127691,0.6844201,-0.24034,-0.678808,-0.91,-4.5675,-6.3175
176,127789,0.686616,-0.238144,-0.676368,-0.9275,-4.7425,-6.3875
177,127887,0.683932,-0.241804,-0.6771,-0.9625,-4.9525,-6.3875
178,127985,0.6832,-0.239608,-0.6756361,-0.945,-5.1625,-6.3175
179,128082,0.686372,-0.239852,-0.676368,-0.875,-5.1625,-6.3
180,128180,0.681736,-0.24034,-0.6790521,-0.7,-5.39,-6.195
181,128278,0.681248,-0.2379,-0.676612,-0.63,-5.565,-6.2475
182,128376,0.681004,-0.24156,-0.674416,-0.56,-5.53,-6.23
183,128473,0.681248,-0.241072,-0.678564,-0.595,-5.5825,-6.265
184,128571,0.681248,-0.238388,-0.676856,-0.56,-5.7225,-6.37
185,128669,0.6802721,-0.240096,-0.673928,-0.5425,-5.74,-6.4225
186,128767,0.68076,-0.238388,-0.6756361,-0.525,-5.6875,-6.37
187,128865,0.682712,-0.238388,-0.6771,-0.525,-5.705,-6.3525
188,128962,0.6832,-0.23668,-0.676612,-0.455,-5.8975,-6.405
189,129060,0.6836881,-0.239852,-0.6771,-0.385,-5.9325,-6.335
190,129158,0.681492,-0.240828,-0.678808,-0.4025,-6.1075,-6.3
191,129256,0.683932,-0.240096,-0.678564,-0.4025,-6.265,-6.3
192,129354,0.686616,-0.241072,-0.678076,-0.3325,-6.335,-6.3525
193,129451,0.6893,-0.234484,-0.6836881,-0.1225,-6.44,-6.265
194,129549,0.684176,-0.238876,-0.678564,0.2975,-6.5975,-6.125
195,129647,0.681248,-0.24034,-0.67588,0.49,-6.685,-5.95
196,129745,0.681248,-0.240096,-0.676612,0.42,-6.8425,-5.8975
197,129843,0.679784,-0.240584,-0.676368,0.3325,-6.8425,-5.9325
198,129940,0.680028,-0.24156,-0.673196,0.21,-6.8425,-5.8975
199,130038,0.677344,-0.243756,-0.675148,0.175,-6.825,-6.0025
200,130136,0.6795401,-0.241316,-0.677588,-0.035,-6.7725,-6.0725
201,130234,0.677588,-0.241804,-0.6756361,-0.07,-6.79,-6.1075
202,130332,0.67466,-0.24034,-0.675148,-0.21,-6.755,-6.16
203,130429,0.6729521,-0.23912,-0.678808,-0.28,-6.615,-6.1775
204,130527,0.6729521,-0.238876,-0.676856,-0.3325,-6.2475,-6.1425
205,130625,0.670268,-0.241072,-0.6795401,-0.4375,-5.9675,-6.1425
206,130723,0.67344,-0.239852,-0.677832,-0.4725,-5.67,-6.055
207,130820,0.6749041,-0.238632,-0.676856,-0.5775,-5.1275,-6.0375
208,130918,0.6802721,-0.240828,-0.677344,-0.6475,-4.97,-6.09
209,131016,0.6795401,-0.239608,-0.67832,-0.5775,-4.83,-6.1075
210,131114,0.679784,-0.241804,-0.6771,-0.5775,-4.7425,-6.1075
211,131212,0.682956,-0.23668,-0.678564,-0.6125,-4.6725,-6.0375
212,131309,0.681492,-0.239364,-0.676124,-0.4725,-4.795,-5.915
213,131407,0.678564,-0.239852,-0.677344,-0.49,-4.8825,-5.81
214,131505,0.681004,-0.239364,-0.6771,-0.4025,-4.83,-5.74
215,131603,0.679296,-0.242048,-0.678564,-0.3675,-4.8125,-5.67
216,131701,0.676612,-0.239608,-0.676856,-0.3675,-4.8475,-5.635
217,131798,0.680028,-0.238632,-0.678808,-0.315,-4.7425,-5.4775
218,131896,0.680028,-0.2379,-0.6790521,-0.2275,-4.5675,-5.4075
219,131994,0.6795401,-0.243512,-0.679784,-0.1225,-4.445,-5.355
220,132092,0.678808,-0.241072,-0.677588,-0.1225,-4.3925,-5.285
221,132190,0.679784,-0.242292,-0.678564,-0.0875,-4.3925,-5.285
222,132287,0.68076,-0.239608,-0.67832,-0.175,-4.235,-5.4075
223,132385,0.681492,-0.237168,-0.678076,-0.07,-4.0425,-5.25
224,132483,0.684176,-0.2379,-0.6771,0.07,-4.0075,-5.11
225,132581,0.6844201,-0.242048,-0.676368,0.1925,-4.13,-4.8475
226,132679,0.6802721,-0.243268,-0.678808,0.28,-4.1475,-4.655
227,132776,0.681736,-0.239852,-0.6771,0.1925,-4.1825,-4.76
228,132874,0.6836881,-0.240828,-0.678564,0.28,-4.0775,-4.76
229,132972,0.6878361,-0.239364,-0.676124,0.3325,-4.06,-4.655
230,133070,0.682956,-0.243756,-0.671488,0.385,-4.165,-4.515
231,133167,0.684176,-0.24644,-0.67222,0.385,-4.2,-4.655
232,133265,0.6832,-0.245708,-0.671,0.14,-4.305,-4.9
233,133363,0.6832,-0.245952,-0.67344,0.07,-4.4625,-5.0575
234,133461,0.684664,-0.247904,-0.669048,-0.0525,-4.4975,-5.1975
235,133559,0.684176,-0.245952,-0.671488,-0.2625,-4.445,-5.46
236,133656,0.68564,-0.24522,-0.67222,-0.315,-4.62,-5.6175
237,133754,0.682712,-0.244488,-0.66978,-0.4025,-4.7775,-5.81
238,133852,0.680516,-0.245464,-0.671488,-0.4375,-5.005,-5.915
239,133950,0.682468,-0.245464,-0.6707561,-0.56,-4.97,-6.09
240,134047,0.682956,-0.24278,-0.673684,-0.595,-4.8825,-6.1425
241,134145,0.6844201,-0.244,-0.6749041,-0.6475,-4.7425,-6.02
242,134243,0.683932,-0.243024,-0.676368,-0.525,-4.7075,-5.8625
243,134341,0.681492,-0.244732,-0.670512,-0.4375,-4.6725,-5.775
244,134439,0.680028,-0.243268,-0.677588,-0.5425,-4.3925,-5.67
245,134536,0.678808,-0.242292,-0.673196,-0.595,-4.1475,-5.705
246,134634,0.6790521,-0.24766,-0.671488,-0.735,-3.745,-5.775
247,134732,0.681492,-0.246196,-0.671488,-0.875,-3.395,-5.915
248,134830,0.681248,-0.247172,-0.6688041,-1.05,-2.8175,-6.055
249,134928,0.6844201,-0.243512,-0.672708,-1.1375,-2.66,-6.1425
250,135025,0.68686,-0.243268,-0.672464,-1.33,-2.6075,-6.16
251,135123,0.687592,-0.245708,-0.670512,-1.4,-2.6775,-6.195
252,135221,0.691496,-0.243268,-0.672708,-1.3125,-2.7825,-6.2125
253,135319,0.695644,-0.236192,-0.6753921,-1.085,-3.1325,-6.0025
254,135416,0.692228,-0.24034,-0.671976,-0.8400001,-3.4475,-5.6
255,135514,0.693692,-0.241316,-0.670268,-0.5425,-3.7625,-5.2675
256,135612,0.696132,-0.243512,-0.670512,-0.3325,-3.99,-5.145
257,135710,0.692472,-0.239608,-0.67222,-0.105,-4.445,-5.0575
258,135808,0.687104,-0.246196,-0.669292,-0.0525,-4.8125,-4.97
259,135906,0.689056,-0.249856,-0.664168,-0.035,-4.9875,-5.1625
260,136003,0.687348,-0.247416,-0.665632,-0.07,-5.145,-5.3025
261,136101,0.6878361,-0.249124,-0.668072,-0.035,-5.18,-5.285
262,136199,0.686616,-0.249612,-0.66734,-0.14,-5.3375,-5.46
263,136297,0.687592,-0.245952,-0.670512,-0.3325,-5.495,-5.6875
264,136395,0.687104,-0.245464,-0.670268,-0.35,-5.4775,-5.74
265,136492,0.684908,-0.243756,-0.66978,-0.245,-5.46,-5.7925
266,136590,0.6832,-0.249612,-0.669048,-0.245,-5.5125,-5.9325
267,136688,0.687348,-0.248636,-0.669048,-0.4375,-5.285,-6.125
268,136786,0.687348,-0.246928,-0.665876,-0.6475,-5.11,-6.23
269,136884,0.687104,-0.24278,-0.668072,-0.77,-5.2675,-6.3525
270,136981,0.689056,-0.245708,-0.667096,-0.735,-5.2325,-6.4575
271,137079,0.689544,-0.246684,-0.6661201,-0.7,-5.25,-6.4575
272,137177,0.690032,-0.242292,-0.668316,-0.77,-5.355,-6.4225
273,137275,0.690764,-0.246196,-0.6661201,-0.735,-5.4775,-6.4225
274,137372,0.6885681,-0.244976,-0.669292,-0.7175,-5.7225,-6.3
275,137470,0.6902761,-0.242048,-0.6695361,-0.665,-5.7575,-6.3525
276,137568,0.6897881,-0.241804,-0.667584,-0.6125,-5.8275,-6.265
277,137666,0.687104,-0.244976,-0.6695361,-0.5425,-5.915,-6.2475
278,137764,0.686616,-0.247172,-0.669292,-0.5425,-5.9325,-6.2475
279,137862,0.686128,-0.24522,-0.671244,-0.5775,-5.95,-6.2825
280,137959,0.683444,-0.244732,-0.670024,-0.5425,-5.8625,-6.3
281,138057,0.6851521,-0.24522,-0.670268,-0.595,-5.775,-6.37
282,138155,0.68564,-0.244488,-0.670512,-0.6475,-5.67,-6.3875
283,138253,0.6878361,-0.24278,-0.66856,-0.7175,-5.53,-6.335
284,138350,0.686372,-0.244244,-0.671244,-0.63,-5.5475,-6.3875
285,138448,0.687104,-0.244244,-0.671976,-0.6475,-5.4425,-6.335
286,138546,0.688812,-0.241316,-0.668072,-0.665,-5.3025,-6.3
287,138644,0.687348,-0.24278,-0.671,-0.6475,-5.145,-6.16
288,138742,0.6893,-0.242048,-0.671244,-0.5075,-5.1975,-6.055
289,138840,0.688812,-0.243024,-0.669048,-0.4025,-5.25,-5.95
290,138937,0.689056,-0.246196,-0.666364,-0.315,-5.3375,-5.88
291,139035,0.686372,-0.243512,-0.66856,-0.315,-5.425,-5.7575
292,139133,0.68564,-0.24156,-0.670024,-0.2625,-5.285,-5.67
293,139231,0.688812,-0.240828,-0.66856,-0.3325,-5.1275,-5.565
294,139329,0.69052,-0.239608,-0.66978,-0.2625,-5.04,-5.5825
295,139426,0.690032,-0.242536,-0.668316,-0.2275,-4.9,-5.4425
296,139524,0.692716,-0.243024,-0.665876,-0.2275,-4.9875,-5.495
297,139622,0.691496,-0.244488,-0.66856,-0.14,-5.11,-5.39
298,139720,0.692228,-0.24522,-0.667828,-0.07,-5.25,-5.39
299,139818,0.69174,-0.246196,-0.669048,0.0525,-5.4075,-5.3725
300,139915,0.688324,-0.245464,-0.667828,0.0875,-5.6,-5.3375
301,140013,0.691252,-0.245464,-0.6661201,0.105,-5.6,-5.39
302,140111,0.687592,-0.248148,-0.664412,0.175,-5.74,-5.46
303,140209,0.687104,-0.24766,-0.666852,0.1575,-6.0375,-5.6
304,140307,0.6902761,-0.247172,-0.664168,0.035,-6.09,-5.775
305,140404,0.68686,-0.24888,-0.665144,0.0,-6.2125,-5.8625
306,140502,0.68686,-0.246684,-0.66978,-0.07,-6.265,-5.9325
307,140600,0.6885681,-0.24522,-0.670024,-0.07,-6.3875,-5.9675
308,140698,0.6885681,-0.245464,-0.669292,-0.035,-6.5275,-5.845
309,140796,0.687348,-0.244732,-0.670024,0.0,-6.5975,-5.845
310,140893,0.687592,-0.245952,-0.669048,-0.0175,-6.6325,-5.95
311,140991,0.689544,-0.246196,-0.668072,0.035,-6.685,-5.9675
312,141089,0.6885681,-0.244976,-0.669048,0.1225,-6.825,-5.775
313,141187,0.689056,-0.249368,-0.665632,0.21,-6.86,-5.8625
314,141285,0.6885681,-0.246684,-0.667828,0.1575,-6.9475,-5.8275
315,141382,0.686616,-0.252052,-0.669292,0.1925,-7.07,-5.915
316,141480,0.683932,-0.252052,-0.66856,0.0175,-7.105,-6.1425
317,141578,0.686372,-0.250832,-0.66856,-0.2275,-7.175,-6.405
318,141676,0.687104,-0.249856,-0.667584,-0.4025,-7.315,-6.72
319,141774,0.6851521,-0.251564,-0.665144,-0.5425,-7.455,-7.0
320,141872,0.6836881,-0.254492,-0.668316,-0.8400001,-7.595,-7.35
321,141969,0.68808,-0.250832,-0.667828,-1.1725,-7.6825,-7.56
322,142067,0.685884,-0.247416,-0.66856,-1.365,-7.9625,-7.8225
323,142165,0.684176,-0.249612,-0.670512,-1.4525,-8.155,-7.98
324,142263,0.68076,-0.245464,-0.6707561,-1.61,-8.33,-8.225
325,142361,0.684664,-0.24522,-0.672708,-1.645,-8.365,-8.26
326,142458,0.680028,-0.249368,-0.671488,-1.645,-8.435,-8.365
327,142556,0.678808,-0.250832,-0.670268,-1.8375,-8.3825,-8.5225
328,142654,0.68198,-0.24644,-0.672464,-2.03,-8.12,-8.7325
329,142752,0.680028,-0.24156,-0.6756361,-2.1,-7.805,-8.8025
330,142850,0.681004,-0.238632,-0.676612,-2.03,-7.595,-8.6275
331,142947,0.678564,-0.238632,-0.676612,-1.96,-7.28,-8.5575
332,143045,0.676124,-0.240096,-0.679784,-1.6975,-7.07,-8.365
333,143143,0.68198,-0.237412,-0.677344,-1.5925,-6.8075,-8.225
334,143241,0.683932,-0.23668,-0.67588,-1.505,-6.58,-8.015
335,143339,0.684908,-0.233508,-0.676856,-1.295,-6.44,-7.665
336,143436,0.680028,-0.235948,-0.679784,-0.9975,-6.4225,-7.315
337,143534,0.68076,-0.236192,-0.6790521,-0.7875,-6.2475,-6.965
338,143632,0.682712,-0.237656,-0.67466,-0.665,-6.02,-6.615
339,143730,0.682956,-0.236192,-0.676124,-0.56,-5.88,-6.37
340,143828,0.681736,-0.241804,-0.67588,-0.56,-5.6525,-6.3
341,143925,0.682468,-0.242292,-0.675148,-0.595,-5.5825,-6.3875
342,144023,0.6844201,-0.242048,-0.676368,-0.6475,-5.565,-6.3175
343,144121,0.682224,-0.239852,-0.675148,-0.595,-5.5475,-6.265
344,144219,0.684664,-0.241072,-0.6749041,-0.56,-5.6,-6.2825
345,144317,0.6851521,-0.2379,-0.67588,-0.525,-5.5475,-6.3525
346,144414,0.683932,-0.241804,-0.6749041,-0.525,-5.6175,-6.3525
347,144512,0.683932,-0.23912,-0.673928,-0.5425,-5.6,-6.3525
348,144610,0.682224,-0.240096,-0.673928,-0.5425,-5.635,-6.335
349,144708,0.685396,-0.238876,-0.675148,-0.5425,-5.635,-6.2825
350,144806,0.683932,-0.237656,-0.67588,-0.595,-5.6525,-6.195
351,144904,0.682468,-0.24156,-0.678564,-0.4375,-5.7225,-6.195
352,145001,0.685884,-0.242048,-0.67588,-0.5075,-5.6875,-6.16
353,145099,0.684908,-0.241316,-0.67466,-0.4375,-5.7225,-6.23
354,145197,0.6832,-0.243024,-0.6756361,-0.42,-5.74,-6.2825
355,145295,0.684664,-0.237656,-0.673928,-0.56,-5.81,-6.3175
356,145392,0.682712,-0.239852,-0.67344,-0.56,-5.81,-6.265
357,145490,0.684664,-0.241072,-0.670268,-0.5425,-5.845,-6.2475
358,145588,0.681736,-0.242048,-0.676368,-0.6475,-5.8275,-6.37
359,145686,0.6844201,-0.241804,-0.6749041,-0.735,-5.8275,-6.405
360,145784,0.683444,-0.241316,-0.6756361,-0.7175,-5.81,-6.51
